Time	Flow, kg/s	DeltaP, Pa	P, Pa	Temp, K	Temp2, K
1741861771	1.784810	27.10	23.48	300.250	296.630

1741861773	1.000000	20.67	26.52	293.820	299.670

1741861774	1.821843	25.06	26.83	298.210	299.980

1741861775	1.962492	23.67	24.81	296.820	297.960

1741861776	1.000000	23.13	23.57	296.280	296.720

1741861777	2.573344	29.19	28.40	302.340	301.550

1741861778	0.683671	28.12	23.77	301.270	296.920

1741861779	1.000000	25.97	21.64	299.120	294.790

1741861780	1.000000	23.10	24.01	296.250	297.160

1741861781	1.000000	25.22	22.58	298.370	295.730

1741861782	2.083127	26.54	26.96	299.690	300.110

1741861783	1.645307	23.67	23.66	296.820	296.810

1741861784	1.000000	20.23	29.31	293.380	302.460

1741861785	1.898904	20.25	20.42	293.400	293.570

1741861786	2.424371	28.49	27.13	301.640	300.280

1741861787	2.610689	26.51	21.69	299.660	294.840

1741861788	1.301326	28.94	26.82	302.090	299.970

1741861789	1.868075	29.98	24.67	303.130	297.820

1741861790	2.370103	29.26	29.99	302.410	303.140

1741861791	1.000000	20.69	28.26	293.840	301.410

1741861792	1.000000	22.50	26.68	295.650	299.830

1741861793	1.000000	29.72	20.01	302.870	293.160

1741861794	1.000000	20.78	24.42	293.930	297.570

1741861795	1.048347	27.15	22.66	300.300	295.810

1741861796	1.545034	29.64	22.16	302.790	295.310

1741861797	2.028075	23.93	23.69	297.080	296.840

1741861798	1.000000	26.47	22.74	299.620	295.890

1741861799	1.000000	21.73	20.09	294.880	293.240

1741861800	1.000000	26.37	24.74	299.520	297.890

1741861801	1.000000	28.04	27.28	301.190	300.430

1741861802	2.638180	24.52	26.80	297.670	299.950

1741861803	1.000000	21.07	24.22	294.220	297.370

1741861804	1.962755	20.27	23.10	293.420	296.250

1741861805	1.000000	27.99	29.03	301.140	302.180

1741861806	2.456407	28.08	25.28	301.230	298.430

1741861807	1.000000	23.32	25.21	296.470	298.360

1741861808	1.000000	24.93	26.13	298.080	299.280

1741861809	0.432630	21.23	22.59	294.380	295.740

1741861810	1.000000	29.15	29.74	302.300	302.890

1741861811	1.000000	28.68	23.37	301.830	296.520

1741861812	1.000000	23.85	26.66	297.000	299.810

1741861813	1.000000	22.28	24.90	295.430	298.050

1741861814	1.000000	28.70	25.79	301.850	298.940

1741861815	1.000000	24.88	29.02	298.030	302.170

1741861816	1.205303	27.62	27.75	300.770	300.900

1741861817	1.000000	22.84	22.85	295.990	296.000

1741861818	1.000000	22.16	29.72	295.310	302.870

1741861819	2.075149	23.39	22.70	296.540	295.850

1741861820	1.966703	24.06	27.24	297.210	300.390

1741861821	2.442659	26.00	26.03	299.150	299.180

1741861822	1.000000	27.56	29.02	300.710	302.170

1741861823	1.809849	26.53	24.33	299.680	297.480

1741861825	2.637339	25.45	26.69	298.600	299.840

1741861826	1.000000	27.77	22.70	300.920	295.850

1741861827	1.000000	23.71	21.35	296.860	294.500

1741861828	1.000000	26.49	22.87	299.640	296.020

1741861829	1.000000	28.92	21.14	302.070	294.290

1741861830	2.432219	26.76	25.82	299.910	298.970

1741861831	2.555543	23.80	27.30	296.950	300.450

1741861832	1.695394	23.50	20.83	296.650	293.980

1741861833	1.000000	26.71	28.40	299.860	301.550

1741861834	1.494287	25.54	27.21	298.690	300.360

1741861835	1.178006	25.58	28.62	298.730	301.770

1741861836	1.000000	27.31	20.58	300.460	293.730

1741861837	1.000000	23.74	28.55	296.890	301.700

1741861838	2.292051	28.46	25.61	301.610	298.760

1741861839	1.000000	23.41	22.07	296.560	295.220

1741861840	1.000000	27.45	25.97	300.600	299.120

1741861841	1.000000	20.48	23.97	293.630	297.120

1741861842	1.000000	29.54	28.35	302.690	301.500

1741861843	0.151055	25.71	25.02	298.860	298.170

1741861844	2.362605	21.39	27.57	294.540	300.720

1741861845	1.638104	22.60	20.79	295.750	293.940

1741861846	1.000000	24.03	22.11	297.180	295.260

1741861847	1.000000	25.72	28.08	298.870	301.230

1741861848	1.060580	26.90	25.79	300.050	298.940

1741861849	0.848395	28.13	28.17	301.280	301.320

1741861850	0.556980	25.40	23.14	298.550	296.290

1741861851	1.103536	21.50	20.69	294.650	293.840

1741861852	1.000000	26.93	22.07	300.080	295.220

1741861853	1.000000	29.21	23.79	302.360	296.940

1741861854	1.000000	25.05	22.13	298.200	295.280

1741861855	1.952631	23.28	29.66	296.430	302.810

1741861856	1.000000	26.39	29.74	299.540	302.890

1741861857	1.000000	21.48	24.48	294.630	297.630

1741861858	1.000000	24.04	20.48	297.190	293.630

1741861859	2.024423	20.70	27.86	293.850	301.010

1741861860	1.000000	26.39	24.22	299.540	297.370

1741861861	0.947530	28.23	29.69	301.380	302.840

1741861862	2.587651	24.20	25.06	297.350	298.210

1741861863	1.000000	23.74	28.19	296.890	301.340

1741861864	1.000000	25.77	26.98	298.920	300.130

1741861865	1.000000	24.05	27.63	297.200	300.780

1741861866	1.000000	20.47	22.25	293.620	295.400

1741861867	1.811378	22.35	28.31	295.500	301.460

1741861868	1.256380	21.89	24.06	295.040	297.210

1741861869	1.316395	23.97	26.80	297.120	299.950

Time	Flow, kg/s	DeltaP, Pa	P, Pa	Temp, K	Temp2, K

1741862111	2.572217	21.86	23.93	295.010	297.080

1741862112	1.000000	24.30	21.48	297.450	294.630

1741862113	1.689847	21.41	21.86	294.560	295.010

1741862114	1.000000	29.91	26.10	303.060	299.250

1741862115	1.000000	27.85	20.99	301.000	294.140

1741862116	2.120172	29.73	26.63	302.880	299.780

1741862117	1.000000	24.16	23.69	297.310	296.840

1741862118	2.362528	23.58	26.10	296.730	299.250

1741862119	1.000000	21.46	24.17	294.610	297.320

1741862120	0.625735	27.35	26.14	300.500	299.290

1741862121	0.680027	29.30	22.92	302.450	296.070

1741862122	1.116337	25.67	28.65	298.820	301.800

1741862123	1.000000	28.96	27.89	302.110	301.040

1741862124	2.733870	29.12	28.97	302.270	302.120

1741862125	2.264137	22.87	23.44	296.020	296.590

1741862126	0.703343	20.55	22.30	293.700	295.450

1741862127	1.986375	24.60	26.75	297.750	299.900

1741862128	1.000000	25.93	26.35	299.080	299.500

1741862129	1.000000	23.93	28.25	297.080	301.400

1741862130	1.131978	21.78	26.09	294.930	299.240

1741862131	1.000000	24.13	21.07	297.280	294.220

1741862132	1.000000	25.46	25.69	298.610	298.840

1741862133	1.000000	29.16	20.77	302.310	293.920

1741862134	0.468949	23.56	26.86	296.710	300.010

1741862135	1.000000	20.57	21.31	293.720	294.460

1741862136	0.972237	28.40	28.92	301.550	302.070

1741862137	1.000000	21.70	23.16	294.850	296.310

1741862138	0.479630	25.42	27.01	298.570	300.160

1741862139	1.000000	22.20	23.04	295.350	296.190

1741862140	2.554505	27.89	29.84	301.040	302.990

1741862141	1.000000	28.69	29.06	301.840	302.210

1741862142	1.000000	23.35	29.29	296.500	302.440

1741862143	0.470970	20.85	20.11	294.000	293.260

1741862144	2.252207	21.25	22.40	294.400	295.550

1741862145	1.037023	24.77	23.02	297.920	296.170

1741862146	1.000000	24.55	24.25	297.700	297.400

1741862147	1.000000	26.20	22.99	299.350	296.140

1741862148	2.503373	23.67	22.23	296.820	295.380

1741862149	1.000000	22.60	25.60	295.750	298.750

1741862150	1.507318	23.95	28.66	297.100	301.810

1741862151	1.000000	28.90	23.78	302.050	296.930

Time	Flow, kg/s	DeltaP, Pa	P, Pa	Temp, K	Temp2, K

1741862400	0.371956	23.35	29.01	296.500	302.160

1741862401	1.339058	22.06	24.38	295.210	297.530

1741862402	1.000000	20.35	28.15	293.500	301.300

1741862404	2.006982	24.94	20.55	298.090	293.700

1741862405	1.000000	27.57	28.99	300.720	302.140

1741862406	2.245017	27.04	23.59	300.190	296.740

1741862407	1.000000	22.35	20.08	295.500	293.230

1741862408	2.707074	20.37	20.70	293.520	293.850

1741862409	1.000000	21.10	27.53	294.250	300.680

1741862410	1.000000	22.32	28.22	295.470	301.370

1741862411	1.000000	20.11	29.55	293.260	302.700

1741862412	1.000000	28.62	20.88	301.770	294.030

1741862413	2.133684	28.84	29.63	301.990	302.780

1741862414	1.000000	23.23	25.95	296.380	299.100

1741862415	1.000000	29.45	21.53	302.600	294.680

1741862416	0.413766	25.80	23.19	298.950	296.340

1741862417	1.000000	20.80	28.86	293.950	302.010

1741862418	2.320481	29.67	20.55	302.820	293.700

1741862419	1.000000	26.49	22.24	299.640	295.390

1741862420	1.000000	26.59	28.66	299.740	301.810

1741862421	0.453942	27.78	20.25	300.930	293.400

1741862422	1.000000	23.20	26.43	296.350	299.580

1741862423	1.000000	26.21	25.35	299.360	298.500

1741862424	1.000000	25.58	25.70	298.730	298.850

1741862425	1.000000	22.83	24.09	295.980	297.240

1741862426	1.000000	23.97	29.03	297.120	302.180

1741862427	1.000000	29.76	27.32	302.910	300.470

1741862428	1.000000	21.91	25.78	295.060	298.930

1741862429	1.733637	28.25	25.57	301.400	298.720

1741862430	2.370620	22.59	22.85	295.740	296.000

1741862431	1.939909	24.06	21.96	297.210	295.110

1741862432	1.000000	24.51	21.39	297.660	294.540

1741862433	1.000000	20.58	25.08	293.730	298.230

1741862434	1.537863	21.91	26.66	295.060	299.810

1741862435	1.000000	20.22	28.57	293.370	301.720

1741862436	1.147294	26.46	22.86	299.610	296.010

1741862437	1.000000	26.96	22.87	300.110	296.020

1741862438	1.656265	23.64	23.90	296.790	297.050

1741862439	1.871833	23.73	26.05	296.880	299.200

1741862440	1.097116	20.86	27.09	294.010	300.240

1741862441	1.000000	24.62	23.45	297.770	296.600

1741862442	2.746369	23.81	22.96	296.960	296.110

1741862443	1.000000	21.87	23.85	295.020	297.000

1741862444	0.157657	20.76	27.82	293.910	300.970

1741862445	2.491449	20.31	25.54	293.460	298.690

1741862446	0.693187	25.12	27.82	298.270	300.970

1741862447	2.641117	28.64	24.10	301.790	297.250

1741862448	1.000000	28.47	24.94	301.620	298.090

1741862449	1.794449	24.64	25.91	297.790	299.060

1741862450	1.347395	29.03	20.98	302.180	294.130

1741862451	1.700869	29.07	27.13	302.220	300.280

1741862452	1.662152	22.03	27.45	295.180	300.600

1741862453	1.000000	27.24	25.90	300.390	299.050

1741862455	1.702228	23.27	27.98	296.420	301.130

1741862456	1.000000	24.86	20.21	298.010	293.360

1741862457	1.000000	29.43	21.20	302.580	294.350

1741862458	1.000000	21.88	28.04	295.030	301.190

1741862459	1.000000	27.87	21.15	301.020	294.300

1741862460	2.495418	23.30	24.68	296.450	297.830

1741862461	0.388818	20.31	20.28	293.460	293.430

